title,abbrev_title
Translational research : the journal of laboratory and clinical medicine,Transl Res
Computational intelligence and neuroscience,Comput Intell Neurosci
Social neuroscience,Soc Neurosci
Expert review of endocrinology & metabolism,Expert Rev Endocrinol Metab
Future microbiology,Future Microbiol
Regenerative medicine,Regen Med
Nanomedicine,Nanomedicine (Lond)
Computational and mathematical methods in medicine,Comput Math Methods Med
European archives of paediatric dentistry : official journal of the European Academy of Paediatric Dentistry,Eur Arch Paediatr Dent
International journal of sports physiology and performance,Int J Sports Physiol Perform
Advances in medical sciences,Adv Med Sci
Biointerphases,Biointerphases
Annual review of pathology,Annu Rev Pathol
Perspectives on psychological science : a journal of the Association for Psychological Science,Perspect Psychol Sci
Journal of thoracic oncology : official publication of the International Association for the Study of Lung Cancer,J Thorac Oncol
International journal of stroke : official journal of the International Stroke Society,Int J Stroke
Journal of empirical research on human research ethics : JERHRE,J Empir Res Hum Res Ethics
Anesthesiology clinics,Anesthesiol Clin
International journal of chronic obstructive pulmonary disease,Int J Chron Obstruct Pulmon Dis
Clinical interventions in aging,Clin Interv Aging
Journal of gastrointestinal and liver diseases : JGLD,J Gastrointestin Liver Dis
Current stem cell research & therapy,Curr Stem Cell Res Ther
Clinical journal of the American Society of Nephrology : CJASN,Clin J Am Soc Nephrol
Sleep medicine clinics,Sleep Med Clin
Journal of hospital medicine,J Hosp Med
Journal of perioperative practice,J Perioper Pract
Current drug safety,Curr Drug Saf
Reviews on recent clinical trials,Rev Recent Clin Trials
"Comparative biochemistry and physiology. Part D, Genomics & proteomics",Comp Biochem Physiol Part D Genomics Proteomics
Targeted oncology,Target Oncol
Journal of physiological anthropology,J Physiol Anthropol
Journal of the American Association for Laboratory Animal Science : JAALAS,J Am Assoc Lab Anim Sci
AACN advanced critical care,AACN Adv Crit Care
Central nervous system agents in medicinal chemistry,Cent Nerv Syst Agents Med Chem
Cardiovascular & hematological disorders drug targets,Cardiovasc Hematol Disord Drug Targets
Infectious disorders drug targets,Infect Disord Drug Targets
"Endocrine, metabolic & immune disorders drug targets",Endocr Metab Immune Disord Drug Targets
CNS & neurological disorders drug targets,CNS Neurol Disord Drug Targets
CBE life sciences education,CBE Life Sci Educ
International journal of older people nursing,Int J Older People Nurs
Cardiovascular & hematological agents in medicinal chemistry,Cardiovasc Hematol Agents Med Chem
World journal of emergency surgery : WJES,World J Emerg Surg
Orphanet journal of rare diseases,Orphanet J Rare Dis
Molecular neurodegeneration,Mol Neurodegener
Women and birth : journal of the Australian College of Midwives,Women Birth
Recent patents on anti-cancer drug discovery,Recent Pat Anticancer Drug Discov
Biotechnology journal,Biotechnol J
Anti-cancer agents in medicinal chemistry,Anticancer Agents Med Chem
Epigenetics,Epigenetics
South Dakota medicine : the journal of the South Dakota State Medical Association,S D Med
Journal of cardiothoracic surgery,J Cardiothorac Surg
Journal of orthopaedic surgery and research,J Orthop Surg Res
Radiation oncology,Radiat Oncol
Current opinion in HIV and AIDS,Curr Opin HIV AIDS
Obesity,Obesity (Silver Spring)
Simulation in healthcare : journal of the Society for Simulation in Healthcare,Simul Healthc
"Applied physiology, nutrition, and metabolism = Physiologie appliquée, nutrition et métabolisme",Appl Physiol Nutr Metab
Molecular diagnosis & therapy,Mol Diagn Ther
"Journal of plastic, reconstructive & aesthetic surgery : JPRAS",J Plast Reconstr Aesthet Surg
Hand : official journal of the American Association for Hand Surgery,Hand (N Y)
Clinical research in cardiology : official journal of the German Cardiac Society,Clin Res Cardiol
International journal of nanomedicine,Int J Nanomedicine
Internal and emergency medicine,Intern Emerg Med
Giornale italiano di cardiologia : organo ufficiale della Federazione italiana di cardiologia : organo ufficiale della Società italiana di chirurgia cardiaca,G Ital Cardiol (Rome)
Trials,Trials
Journal of exposure science & environmental epidemiology,J Expo Sci Environ Epidemiol
Journal of burn care & research : official publication of the American Burn Association,J Burn Care Res
Current hematologic malignancy reports,Curr Hematol Malig Rep
Chemical biology & drug design,Chem Biol Drug Des
Acta physiologica,Acta Physiol (Oxf)
The journal of physiological sciences : JPS,J Physiol Sci
Breastfeeding medicine : the official journal of the Academy of Breastfeeding Medicine,Breastfeed Med
PET clinics,PET Clin
The quarterly journal of experimental psychology : QJEP,Q J Exp Psychol (Hove)
Journal of cardiovascular medicine,J Cardiovasc Med (Hagerstown)
ChemMedChem,ChemMedChem
Biology direct,Biol Direct
Implementation science : IS,Implement Sci
"Substance abuse treatment, prevention, and policy",Subst Abuse Treat Prev Policy
"Philosophy, ethics, and humanities in medicine : PEHM",Philos Ethics Humanit Med
Journal of neuroimmune pharmacology : the official journal of the Society on NeuroImmune Pharmacology,J Neuroimmune Pharmacol
Journal of immigrant and minority health,J Immigr Minor Health
Journal of the American Board of Family Medicine : JABFM,J Am Board Fam Med
International journal of qualitative studies on health and well-being,Int J Qual Stud Health Well-being
Global public health,Glob Public Health
Disability and rehabilitation. Assistive technology,Disabil Rehabil Assist Technol
International breastfeeding journal,Int Breastfeed J
Diagnostic pathology,Diagn Pathol
"Health economics, policy, and law",Health Econ Policy Law
Revista de Gastroenterología de México,Rev Gastroenterol Mex (Engl Ed)
Reumatología clinica,Reumatol Clin (Engl Ed)
MedEdPORTAL : the journal of teaching and learning resources,MedEdPORTAL
Acute medicine,Acute Med
Health systems in transition,Health Syst Transit
Journal of research in health sciences,J Res Health Sci
National Toxicology Program genetically modified model report,Natl Toxicol Program Genet Modif Model Rep
The international journal of biostatistics,Int J Biostat
Soft matter,Soft Matter
Journal of medical toxicology : official journal of the American College of Medical Toxicology,J Med Toxicol
Archives of environmental & occupational health,Arch Environ Occup Health
Healthcare policy = Politiques de santé,Healthc Policy
World journal of pediatrics : WJP,World J Pediatr
Salud colectiva,Salud Colect
Frontiers of neurology and neuroscience,Front Neurol Neurosci
Metabolomics : Official journal of the Metabolomic Society,Metabolomics
Vascular health and risk management,Vasc Health Risk Manag
Women's health,Womens Health (Lond)
Expert review of clinical immunology,Expert Rev Clin Immunol
Insect science,Insect Sci
Cutaneous and ocular toxicology,Cutan Ocul Toxicol
Nan fang yi ke da xue xue bao = Journal of Southern Medical University,Nan Fang Yi Ke Da Xue Xue Bao
Current computer-aided drug design,Curr Comput Aided Drug Des
Autophagy,Autophagy
Current rheumatology reviews,Curr Rheumatol Rev
Current cardiology reviews,Curr Cardiol Rev
Clinical genitourinary cancer,Clin Genitourin Cancer
Innovations : technology and techniques in cardiothoracic and vascular surgery,Innovations (Phila)
British journal of hospital medicine,Br J Hosp Med (Lond)
Neuroscience bulletin,Neurosci Bull
Future oncology,Future Oncol
Cancer biomarkers : section A of Disease markers,Cancer Biomark
International journal of obesity : journal of the International Association for the Study of Obesity,Int J Obes (Lond)
International journal of prisoner health,Int J Prison Health
Journal of visual communication in medicine,J Vis Commun Med
Current diabetes reviews,Curr Diabetes Rev
Chronic illness,Chronic Illn
EuroIntervention : journal of EuroPCR in collaboration with the Working Group on Interventional Cardiology of the European Society of Cardiology,EuroIntervention
Journal of integrative plant biology,J Integr Plant Biol
Journal of dietary supplements,J Diet Suppl
BMC veterinary research,BMC Vet Res
Journal of cancer research and therapeutics,J Cancer Res Ther
Néphrologie & thérapeutique,Nephrol Ther
Biology letters,Biol Lett
Zhonghua er bi yan hou tou jing wai ke za zhi = Chinese journal of otorhinolaryngology head and neck surgery,Zhonghua Er Bi Yan Hou Tou Jing Wai Ke Za Zhi
International journal of injury control and safety promotion,Int J Inj Contr Saf Promot
Clinical & translational oncology : official publication of the Federation of Spanish Oncology Societies and of the National Cancer Institute of Mexico,Clin Transl Oncol
European journal of medical genetics,Eur J Med Genet
Clinical otolaryngology : official journal of ENT-UK ; official journal of Netherlands Society for Oto-Rhino-Laryngology & Cervico-Facial Surgery,Clin Otolaryngol
Journal of ethnobiology and ethnomedicine,J Ethnobiol Ethnomed
Head & face medicine,Head Face Med
Behavioral and brain functions : BBF,Behav Brain Funct
Globalization and health,Global Health
Acta orthopaedica. Supplementum,Acta Orthop Suppl
Clinics,Clinics (Sao Paulo)
Twin research and human genetics : the official journal of the International Society for Twin Studies,Twin Res Hum Genet
Behavior research methods,Behav Res Methods
International heart journal,Int Heart J
Molecular pain,Mol Pain
Contemporary clinical trials,Contemp Clin Trials
Clinical toxicology : the official journal of the American Academy of Clinical Toxicology and European Association of Poisons Centres and Clinical Toxicologists,Clin Toxicol (Phila)
Asia-Pacific journal of clinical oncology,Asia Pac J Clin Oncol
Diagnostic and interventional radiology : official journal of the Turkish Society of Radiology,Diagn Interv Radiol
Medicinal chemistry,Med Chem
Current pediatric reviews,Curr Pediatr Rev
Current hypertension reviews,Curr Hypertens Rev
Future cardiology,Future Cardiol
PLoS genetics,PLoS Genet
Medical molecular morphology,Med Mol Morphol
PLoS computational biology,PLoS Comput Biol
PLoS pathogens,PLoS Pathog
Cardiovascular revascularization medicine : including molecular interventions,Cardiovasc Revasc Med
Joint Commission journal on quality and patient safety,Jt Comm J Qual Patient Saf
Journal of Zhejiang University. Science. B,J Zhejiang Univ Sci B
"Forensic science, medicine, and pathology",Forensic Sci Med Pathol
Molecular systems biology,Mol Syst Biol
Small,Small
Annual review of clinical psychology,Annu Rev Clin Psychol
Journal of minimally invasive gynecology,J Minim Invasive Gynecol
Journal of social work in end-of-life & palliative care,J Soc Work End Life Palliat Care
Pharmacological reports : PR,Pharmacol Rep
Journal of opioid management,J Opioid Manag
Integrated environmental assessment and management,Integr Environ Assess Manag
Journal of forensic nursing,J Forensic Nurs
Journal of patient safety,J Patient Saf
Cell metabolism,Cell Metab
Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery,Surg Obes Relat Dis
Explore : the journal of science and healing,Explore (NY)
Journal of pediatric urology,J Pediatr Urol
Acta biomaterialia,Acta Biomater
"Nanomedicine : nanotechnology, biology, and medicine",Nanomedicine
Journal of chemical theory and computation,J Chem Theory Comput
International journal of immunogenetics,Int J Immunogenet
Alzheimer's & dementia : the journal of the Alzheimer's Association,Alzheimers Dement
Journal of clinical sleep medicine : JCSM : official publication of the American Academy of Sleep Medicine,J Clin Sleep Med
Nature chemical biology,Nat Chem Biol
Research in social & administrative pharmacy : RSAP,Res Social Adm Pharm
Heart failure clinics,Heart Fail Clin
Acta orthopaedica,Acta Orthop
Pharmacogenetics and genomics,Pharmacogenet Genomics
Journal of biomedical nanotechnology,J Biomed Nanotechnol
Journal of chemical information and modeling,J Chem Inf Model
The FEBS journal,FEBS J
Journal of intellectual disabilities : JOID,J Intellect Disabil
Expert opinion on drug metabolism & toxicology,Expert Opin Drug Metab Toxicol
Complementary therapies in clinical practice,Complement Ther Clin Pract
Revue médicale suisse,Rev Med Suisse
Acta otorrinolaringologica española,Acta Otorrinolaringol Esp (Engl Ed)
EcoSal Plus,EcoSal Plus
Journal of integrative bioinformatics,J Integr Bioinform
Revista internacional de andrología,Rev Int Androl
Journal of anthropological sciences = Rivista di antropologia : JASS,J Anthropol Sci
Journal of the International AIDS Society,J Int AIDS Soc
Journal of complementary & integrative medicine,J Complement Integr Med
Brazilian oral research,Braz Oral Res
Urology journal,Urol J
Iranian journal of immunology : IJI,Iran J Immunol
Pediatric emergency medicine practice,Pediatr Emerg Med Pract
Hellenic journal of nuclear medicine,Hell J Nucl Med
African journal of paediatric surgery : AJPS,Afr J Paediatr Surg
Organogenesis,Organogenesis
The international journal of medical robotics + computer assisted surgery : MRCAS,Int J Med Robot
Journal of bioethical inquiry,J Bioeth Inq
Purinergic signalling,Purinergic Signal
"Medicinski glasnik : official publication of the Medical Association of Zenica-Doboj Canton, Bosnia and Herzegovina",Med Glas (Zenica)
Journal of preventive medicine and public health = Yebang Ŭihakhoe chi,J Prev Med Public Health
Cellular & molecular immunology,Cell Mol Immunol
Sexual health,Sex Health
Seminars in fetal & neonatal medicine,Semin Fetal Neonatal Med
Personalized medicine,Per Med
International journal of environmental research and public health,Int J Environ Res Public Health
AIDS research and therapy,AIDS Res Ther
Particle and fibre toxicology,Part Fibre Toxicol
Current HIV/AIDS reports,Curr HIV/AIDS Rep
International journal of biological sciences,Int J Biol Sci
RNA biology,RNA Biol
Drug discovery today. Technologies,Drug Discov Today Technol
Journal of the International Society of Sports Nutrition,J Int Soc Sports Nutr
Canadian journal of dental hygiene : CJDH = Journal canadien de l'hygiène dentaire : JCHD,Can J Dent Hyg
Diabetes & vascular disease research,Diab Vasc Dis Res
Surgical innovation,Surg Innov
Journal of neuroengineering and rehabilitation,J Neuroeng Rehabil
Molecular nutrition & food research,Mol Nutr Food Res
"Medicina oral, patología oral y cirugía bucal",Med Oral Patol Oral Cir Bucal
Virology journal,Virol J
PLoS medicine,PLoS Med
Fetal and pediatric pathology,Fetal Pediatr Pathol
International wound journal,Int Wound J
The journal of sexual medicine,J Sex Med
Zhong nan da xue xue bao. Yi xue ban = Journal of Central South University. Medical sciences,Zhong Nan Da Xue Xue Bao Yi Xue Ban
Experimental oncology,Exp Oncol
Expert review of medical devices,Expert Rev Med Devices
Physics of life reviews,Phys Life Rev
Polish journal of microbiology,Pol J Microbiol
Expert opinion on drug delivery,Expert Opin Drug Deliv
International journal of surgery,Int J Surg
Japan journal of nursing science : JJNS,Jpn J Nurs Sci
The review of diabetic studies : RDS,Rev Diabet Stud
The clinical teacher,Clin Teach
Prague medical report,Prague Med Rep
Journal of oral biosciences,J Oral Biosci
SAHARA J : journal of Social Aspects of HIV/AIDS Research Alliance,SAHARA J
Photodiagnosis and photodynamic therapy,Photodiagnosis Photodyn Ther
Zebrafish,Zebrafish
Reproductive health,Reprod Health
Expert review of proteomics,Expert Rev Proteomics
Journal of neurosurgery. Spine,J Neurosurg Spine
The AAPS journal,AAPS J
Journal of neuroinflammation,J Neuroinflammation
Archives of animal nutrition,Arch Anim Nutr
Body image,Body Image
Jornal brasileiro de pneumologia : publicaça̋o oficial da Sociedade Brasileira de Pneumologia e Tisilogia,J Bras Pneumol
EcoHealth,Ecohealth
Archives of disease in childhood. Education and practice edition,Arch Dis Child Educ Pract Ed
Perspectives in health information management,Perspect Health Inf Manag
Journal of neural engineering,J Neural Eng
"Journal of the Royal Society, Interface",J R Soc Interface
The international journal of behavioral nutrition and physical activity,Int J Behav Nutr Phys Act
Retrovirology,Retrovirology
Nature methods,Nat Methods
International journal of nursing education scholarship,Int J Nurs Educ Scholarsh
Indian journal of medical ethics,Indian J Med Ethics
Psychological services,Psychol Serv
International journal of medical sciences,Int J Med Sci
"The quarterly journal of nuclear medicine and molecular imaging : official publication of the Italian Association of Nuclear Medicine (AIMN) [and] the International Association of Radiopharmacology (IAR), [and] Section of the Society of Radiopharmaceutical Chemistry and Biology",Q J Nucl Med Mol Imaging
Rejuvenation research,Rejuvenation Res
Clinical EEG and neuroscience,Clin EEG Neurosci
The protein journal,Protein J
COPD,COPD
Advances in chronic kidney disease,Adv Chronic Kidney Dis
Current organic synthesis,Curr Org Synth
Current drug delivery,Curr Drug Deliv
Current Alzheimer research,Curr Alzheimer Res
Current neurovascular research,Curr Neurovasc Res
Basic & clinical pharmacology & toxicology,Basic Clin Pharmacol Toxicol
Healthcare quarterly,Healthc Q
Physiology,Physiology (Bethesda)
"Dermatitis : contact, atopic, occupational, drug",Dermatitis
Acta biochimica et biophysica Sinica,Acta Biochim Biophys Sin (Shanghai)
Preventing chronic disease,Prev Chronic Dis
Journal of immunotoxicology,J Immunotoxicol
Communication & medicine,Commun Med
Maternal & child nutrition,Matern Child Nutr
Heart rhythm,Heart Rhythm
Emergency medicine Australasia : EMA,Emerg Med Australas
Thoracic surgery clinics,Thorac Surg Clin
Mathematical biosciences and engineering : MBE,Math Biosci Eng
Molecular pharmaceutics,Mol Pharm
Journal of dual diagnosis,J Dual Diagn
Physical biology,Phys Biol
Clinical trials : journal of the Society for Clinical Trials,Clin Trials
Chemistry & biodiversity,Chem Biodivers
Chronic respiratory disease,Chron Respir Dis
Stem cells and development,Stem Cells Dev
IEEE/ACM transactions on computational biology and bioinformatics,IEEE/ACM Trans Comput Biol Bioinform
Vascular,Vascular
Current heart failure reports,Curr Heart Fail Rep
Journal of molecular histology,J Mol Histol
Journal of the American College of Radiology : JACR,J Am Coll Radiol
Journal of occupational and environmental hygiene,J Occup Environ Hyg
Journal of physical activity & health,J Phys Act Health
Neuro-degenerative diseases,Neurodegener Dis
Cancer genomics & proteomics,Cancer Genomics Proteomics
Journal of public health,J Public Health (Oxf)
Skin pharmacology and physiology,Skin Pharmacol Physiol
Pediatric blood & cancer,Pediatr Blood Cancer
"Protein engineering, design & selection : PEDS",Protein Eng Des Sel
Nature structural & molecular biology,Nat Struct Mol Biol
Worldviews on evidence-based nursing,Worldviews Evid Based Nurs
Current drug discovery technologies,Curr Drug Discov Technol
Neurocritical care,Neurocrit Care
Harm reduction journal,Harm Reduct J
Foodborne pathogens and disease,Foodborne Pathog Dis
Anales de pediatria,An Pediatr (Engl Ed)
FP essentials,FP Essent
Chinese journal of natural medicines,Chin J Nat Med
Multimedia manual of cardiothoracic surgery : MMCTS,Multimed Man Cardiothorac Surg
Nursing leadership,Nurs Leadersh (Tor Ont)
European annals of allergy and clinical immunology,Eur Ann Allergy Clin Immunol
Journal of emergency management : JEM,J Emerg Manag
Einstein,Einstein (Sao Paulo)
Ulusal travma ve acil cerrahi dergisi = Turkish journal of trauma & emergency surgery : TJTES,Ulus Travma Acil Cerrahi Derg
Journal of echocardiography,J Echocardiogr
Pediatric rheumatology online journal,Pediatr Rheumatol Online J
Epidemiologia e serviços de saúde : revista do Sistema Unico de Saúde do Brasil,Epidemiol Serv Saude
Journal of child and adolescent mental health,J Child Adolesc Ment Health
Acta medico-historica adriatica : AMHA,Acta Med Hist Adriat
Blood transfusion = Trasfusione del sangue,Blood Transfus
"American journal of medical genetics. Part C, Seminars in medical genetics",Am J Med Genet C Semin Med Genet
"American journal of medical genetics. Part B, Neuropsychiatric genetics : the official publication of the International Society of Psychiatric Genetics",Am J Med Genet B Neuropsychiatr Genet
American journal of medical genetics. Part A,Am J Med Genet A
Cytometry. Part A : the journal of the International Society for Analytical Cytology,Cytometry A
"Cytometry. Part B, Clinical cytometry",Cytometry B Clin Cytom
"Journal of biomedical materials research. Part B, Applied biomaterials",J Biomed Mater Res B Appl Biomater
Journal of biomedical materials research. Part A,J Biomed Mater Res A
Palliative & supportive care,Palliat Support Care
Travel medicine and infectious disease,Travel Med Infect Dis
German medical science : GMS e-journal,Ger Med Sci
Journal of applied biomedicine,J Appl Biomed
Evolutionary psychology : an international journal of evolutionary approaches to psychology and behavior,Evol Psychol
Kathmandu University medical journal (KUMJ),Kathmandu Univ Med J (KUMJ)
Marine drugs,Mar Drugs
Journal of vector borne diseases,J Vector Borne Dis
AMIA ... Annual Symposium proceedings,AMIA Annu Symp Proc
Experimental and clinical transplantation : official journal of the Middle East Society for Organ Transplantation,Exp Clin Transplant
Esophagus : official journal of the Japan Esophageal Society,Esophagus
Human genomics,Hum Genomics
Pediatric endocrinology reviews : PER,Pediatr Endocrinol Rev
Plant biotechnology journal,Plant Biotechnol J
Journal of surgical orthopaedic advances,J Surg Orthop Adv
"Profiles of drug substances, excipients, and related methodology",Profiles Drug Subst Excip Relat Methodol
"Genomics, proteomics & bioinformatics",Genomics Proteomics Bioinformatics
Biomedit︠s︡inskai︠a︡ khimii︠a︡,Biomed Khim
Perspective infirmière : revue officielle de l'Ordre des infirmières et infirmiers du Québec,Perspect Infirm
Journal of neurologic physical therapy : JNPT,J Neurol Phys Ther
Journal of translational medicine,J Transl Med
BMC medicine,BMC Med
BMC biology,BMC Biol
Nature reviews. Microbiology,Nat Rev Microbiol
Journal of applied oral science : revista FOB,J Appl Oral Sci
The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi,Korean J Gastroenterol
Journal of bioinformatics and computational biology,J Bioinform Comput Biol
Geobiology,Geobiology
Journal of water and health,J Water Health
Veterinary and comparative oncology,Vet Comp Oncol
International orthodontics,Int Orthod
Chemical immunology and allergy,Chem Immunol Allergy
PLoS biology,PLoS Biol
Mathematical medicine and biology : a journal of the IMA,Math Med Biol
Expert review of cardiovascular therapy,Expert Rev Cardiovasc Ther
Musculoskeletal care,Musculoskeletal Care
Expert review of anti-infective therapy,Expert Rev Anti Infect Ther
"Therapeutic apheresis and dialysis : official peer-reviewed journal of the International Society for Apheresis, the Japanese Society for Apheresis, the Japanese Society for Dialysis Therapy",Ther Apher Dial
Chinese journal of integrative medicine,Chin J Integr Med
Journal of dentistry for children,J Dent Child (Chic)
Journal of health organization and management,J Health Organ Manag
Population health metrics,Popul Health Metr
Current osteoporosis reports,Curr Osteoporos Rep
Journal of the American Pharmacists Association : JAPhA,J Am Pharm Assoc (2003)
Dalton transactions : an international journal of inorganic chemistry,Dalton Trans
Clinical medicine & research,Clin Med Res
Journal of the Chinese Medical Association : JCMA,J Chin Med Assoc
World journal of surgical oncology,World J Surg Oncol
Human resources for health,Hum Resour Health
Journal of thrombosis and haemostasis : JTH,J Thromb Haemost
Health research policy and systems,Health Res Policy Syst
Cell communication and signaling : CCS,Cell Commun Signal
Cancer science,Cancer Sci
The surgeon : journal of the Royal Colleges of Surgeons of Edinburgh and Ireland,Surgeon
"Journal of experimental zoology. Part B, Molecular and developmental evolution",J Exp Zool B Mol Dev Evol
International journal of dental hygiene,Int J Dent Hyg
Natural product research,Nat Prod Res
Oral health & preventive dentistry,Oral Health Prev Dent
Annals of family medicine,Ann Fam Med
Clinical advances in hematology & oncology : H&O,Clin Adv Hematol Oncol
Research in sports medicine,Res Sports Med
Cognitive and behavioral neurology : official journal of the Society for Behavioral and Cognitive Neurology,Cogn Behav Neurol
Journal of pharmacological sciences,J Pharmacol Sci
Economics and human biology,Econ Hum Biol
Journal der Deutschen Dermatologischen Gesellschaft = Journal of the German Society of Dermatology : JDDG,J Dtsch Dermatol Ges
Lymphatic research and biology,Lymphat Res Biol
Sichuan da xue xue bao. Yi xue ban = Journal of Sichuan University. Medical science edition,Sichuan Da Xue Xue Bao Yi Xue Ban
Journal of the National Comprehensive Cancer Network : JNCCN,J Natl Compr Canc Netw
Eye & contact lens,Eye Contact Lens
Liver international : official journal of the International Association for the Study of the Liver,Liver Int
Clinical gastroenterology and hepatology : the official clinical practice journal of the American Gastroenterological Association,Clin Gastroenterol Hepatol
Cardiovascular ultrasound,Cardiovasc Ultrasound
Computational biology and chemistry,Comput Biol Chem
Current neuropharmacology,Curr Neuropharmacol
Current vascular pharmacology,Curr Vasc Pharmacol
Current HIV research,Curr HIV Res
The ocular surface,Ocul Surf
Learning & behavior,Learn Behav
Organic & biomolecular chemistry,Org Biomol Chem
Arthritis research & therapy,Arthritis Res Ther
Reproductive biology and endocrinology : RB&E,Reprod Biol Endocrinol
Health and quality of life outcomes,Health Qual Life Outcomes
Journal of nanobiotechnology,J Nanobiotechnology
Metabolic syndrome and related disorders,Metab Syndr Relat Disord
Behavioral sleep medicine,Behav Sleep Med
Comprehensive reviews in food science and food safety,Compr Rev Food Sci Food Saf
Acta scientiarum polonorum. Technologia alimentaria,Acta Sci Pol Technol Aliment
Acta bio-medica : Atenei Parmensis,Acta Biomed
Journal of Nepal Health Research Council,J Nepal Health Res Counc
Hellenic journal of cardiology : HJC = Hellēnikē kardiologikē epitheōrēsē,Hellenic J Cardiol
Revista peruana de medicina experimental y salud pública,Rev Peru Med Exp Salud Publica
Dental and medical problems,Dent Med Probl
Pharmaceutical statistics,Pharm Stat
Acta ortopédica mexicana,Acta Ortop Mex
Statistical applications in genetics and molecular biology,Stat Appl Genet Mol Biol
Journal of sports science & medicine,J Sports Sci Med
Skinmed,Skinmed
Gene expression patterns : GEP,Gene Expr Patterns
Critical pathways in cardiology,Crit Pathw Cardiol
Drug metabolism and pharmacokinetics,Drug Metab Pharmacokinet
Expert opinion on drug safety,Expert Opin Drug Saf
Journal of drugs in dermatology : JDD,J Drugs Dermatol
Journal of women's health,J Womens Health (Larchmt)
Interactive cardiovascular and thoracic surgery,Interact Cardiovasc Thorac Surg
International braz j urol : official journal of the Brazilian Society of Urology,Int Braz J Urol
Journal of integrative neuroscience,J Integr Neurosci
Annals of hepatology,Ann Hepatol
Expert review of vaccines,Expert Rev Vaccines
Nature materials,Nat Mater
Functional plant biology : FPB,Funct Plant Biol
Anatomical science international,Anat Sci Int
Magnetic resonance in medical sciences : MRMS : an official journal of Japan Society of Magnetic Resonance in Medicine,Magn Reson Med Sci
IEEE transactions on nanobioscience,IEEE Trans Nanobioscience
Integrative and comparative biology,Integr Comp Biol
Nutrition journal,Nutr J
Assay and drug development technologies,Assay Drug Dev Technol
Hepatobiliary & pancreatic diseases international : HBPD INT,Hepatobiliary Pancreat Dis Int
Sports biomechanics,Sports Biomech
Applied health economics and health policy,Appl Health Econ Health Policy
Hispanic health care international : the official journal of the National Association of Hispanic Nurses,Hisp Health Care Int
Journal of enzyme inhibition and medicinal chemistry,J Enzyme Inhib Med Chem
Molecular cancer research : MCR,Mol Cancer Res
Canadian journal of diabetes,Can J Diabetes
Molecular cancer,Mol Cancer
Lipids in health and disease,Lipids Health Dis
International journal for equity in health,Int J Equity Health
Environmental health : a global access science source,Environ Health
Cardiovascular diabetology,Cardiovasc Diabetol
Biomedical engineering online,Biomed Eng Online
Research and theory for nursing practice,Res Theory Nurs Pract
African journal of AIDS research : AJAR,Afr J AIDS Res
Orthodontics & craniofacial research,Orthod Craniofac Res
Traffic injury prevention,Traffic Inj Prev
The journal of pastoral care & counseling : JPCC,J Pastoral Care Counsel
The journal of the Royal College of Physicians of Edinburgh,J R Coll Physicians Edinb
Scandinavian journal of surgery : SJS : official organ for the Finnish Surgical Society and the Scandinavian Surgical Society,Scand J Surg
"OTJR : occupation, participation and health",OTJR (Thorofare N J)
Cognitive behaviour therapy,Cogn Behav Ther
Nutrition & dietetics : the journal of the Dietitians Association of Australia,Nutr Diet
Cytogenetic and genome research,Cytogenet Genome Res
Archaea : an international microbiological journal,Archaea
Hormones : international journal of endocrinology and metabolism,Hormones (Athens)
Child and adolescent mental health,Child Adolesc Ment Health
Neuroinformatics,Neuroinformatics
Journal for specialists in pediatric nursing : JSPN,J Spec Pediatr Nurs
MMWR. Surveillance summaries : Morbidity and mortality weekly report. Surveillance summaries,MMWR Surveill Summ
"Computers, informatics, nursing : CIN",Comput Inform Nurs
European journal of nuclear medicine and molecular imaging,Eur J Nucl Med Mol Imaging
Technology in cancer research & treatment,Technol Cancer Res Treat
Perspectives on sexual and reproductive health,Perspect Sex Reprod Health
International journal of mental health nursing,Int J Ment Health Nurs
Homeopathy : the journal of the Faculty of Homeopathy,Homeopathy
Annual review of plant biology,Annu Rev Plant Biol
Comptes rendus biologies,C R Biol
Nursing education perspectives,Nurs Educ Perspect
Respiratory physiology & neurobiology,Respir Physiol Neurobiol
International journal of audiology,Int J Audiol
Malaria journal,Malar J
"Journal of chromatography. B, Analytical technologies in the biomedical and life sciences",J Chromatogr B Analyt Technol Biomed Life Sci
The Lancet. Neurology,Lancet Neurol
DNA repair,DNA Repair (Amst)
Experimental psychology,Exp Psychol
Cancer biology & therapy,Cancer Biol Ther
Cell cycle,Cell Cycle
Circulation journal : official journal of the Japanese Circulation Society,Circ J
Clinical physiology and functional imaging,Clin Physiol Funct Imaging
Brachytherapy,Brachytherapy
The journal of knee surgery,J Knee Surg
"The journal of maternal-fetal & neonatal medicine : the official journal of the European Association of Perinatal Medicine, the Federation of Asia and Oceania Perinatal Societies, the International Society of Perinatal Obstetricians",J Matern Fetal Neonatal Med
Vascular and endovascular surgery,Vasc Endovascular Surg
Psychology and psychotherapy,Psychol Psychother
Neuromolecular medicine,Neuromolecular Med
Biomechanics and modeling in mechanobiology,Biomech Model Mechanobiol
Toxicology mechanisms and methods,Toxicol Mech Methods
Current sports medicine reports,Curr Sports Med Rep
Neuro-Signals,Neurosignals
Analytical and bioanalytical chemistry,Anal Bioanal Chem
